subject_id,CCPT_avg_succ_RT,CCPT_succ_count,CCPT_FP_count,CCPT_FN_count,score,score_z,high_attender
01,500.77083333333326,96.0,1.0,0.0,95.0,0.8460341808002523,True
02,351.72916666666674,96.0,5.0,0.0,91.0,-0.3357278495239112,False
03,426.71875,96.0,1.0,0.0,95.0,0.8460341808002523,True
04,417.90625,96.0,1.0,0.0,95.0,0.8460341808002523,True
05,372.11458333333326,96.0,2.0,0.0,94.0,0.5505936732192114,True
06,443.84375,96.0,4.0,0.0,92.0,-0.040287341942870356,False
07,395.35416666666674,96.0,9.0,0.0,87.0,-1.5174898798480747,False
08,393.89583333333326,96.0,8.0,0.0,88.0,-1.2220493722670338,False
09,485.9462365591398,93.0,0.0,3.0,90.0,-0.6311683571049521,False
10,465.51041666666674,96.0,1.0,0.0,95.0,0.8460341808002523,True
11,612.8478260869565,92.0,1.0,4.0,87.0,-1.5174898798480747,False
12,397.73958333333326,96.0,0.0,0.0,96.0,1.1414746883812932,True
13,502.89130434782606,92.0,0.0,4.0,88.0,-1.2220493722670338,False
14,499.9894736842105,95.0,1.0,1.0,93.0,0.25515316563817053,True
15,384.23958333333326,96.0,2.0,0.0,94.0,0.5505936732192114,True
16,378.61458333333326,96.0,3.0,0.0,93.0,0.25515316563817053,True
17,392.2210526315789,95.0,8.0,1.0,86.0,-1.8129303874291156,False
18,397.83333333333326,96.0,0.0,0.0,96.0,1.1414746883812932,True
19,403.94791666666674,96.0,2.0,0.0,94.0,0.5505936732192114,True
20,456.3118279569892,93.0,2.0,3.0,88.0,-1.2220493722670338,False
21,453.63541666666674,96.0,0.0,0.0,96.0,1.1414746883812932,True
22,406.0625,96.0,2.0,0.0,94.0,0.5505936732192114,True
